second,Volt1,Volt2
+4.69000E-06,-8.04020092E-03,-8.04020092E-03
+4.79000E-06,-48.24120551E-03,-8.04020092E-03
+4.89000E-06,-72.36180827E-03,+0.0E+00
+4.99000E-06,-96.48241103E-03,+8.04020092E-03
+5.09000E-06,-136.68341562E-03,+0.0E+00
+5.19000E-06,-160.80401838E-03,+0.0E+00
+5.29000E-06,-184.92462113E-03,+0.0E+00
+5.39000E-06,-217.08542481E-03,+0.0E+00
+5.49000E-06,-249.24622849E-03,+8.04020092E-03
+5.59000E-06,-281.40703216E-03,+0.0E+00
+5.69000E-06,-305.52763492E-03,+0.0E+00
+5.79000E-06,-321.60803676E-03,+0.0E+00
+5.89000E-06,-353.76884043E-03,+8.04020092E-03
+5.99000E-06,-377.88944319E-03,+0.0E+00
+6.09000E-06,-385.92964411E-03,+16.08040184E-03
+6.19000E-06,-410.05024686E-03,+8.04020092E-03
+6.29000E-06,-426.13064870E-03,+0.0E+00
+6.39000E-06,-442.21105054E-03,+8.04020092E-03
+6.49000E-06,-450.25125146E-03,+8.04020092E-03
+6.59000E-06,-466.33165330E-03,+8.04020092E-03
+6.69000E-06,-482.41205513E-03,+8.04020092E-03
+6.79000E-06,-482.41205513E-03,+8.04020092E-03
+6.89000E-06,-490.45225605E-03,+8.04020092E-03
+6.99000E-06,-490.45225605E-03,+16.08040184E-03
+7.09000E-06,-498.49245697E-03,+8.04020092E-03
+7.19000E-06,-498.49245697E-03,+16.08040184E-03
+7.29000E-06,-506.53265789E-03,+8.04020092E-03
+7.39000E-06,-498.49245697E-03,+8.04020092E-03
+7.49000E-06,-482.41205514E-03,+8.04020092E-03
+7.59000E-06,-482.41205513E-03,+8.04020092E-03
+7.69000E-06,-466.33165330E-03,+8.04020092E-03
+7.79000E-06,-466.33165330E-03,+8.04020092E-03
+7.89000E-06,-434.17084962E-03,+8.04020092E-03
+7.99000E-06,-434.17084962E-03,+8.04020092E-03
+8.09000E-06,-410.05024686E-03,+8.04020092E-03
+8.19000E-06,-393.96984503E-03,+8.04020092E-03
+8.29000E-06,-377.88944319E-03,+0.0E+00
+8.39000E-06,-361.80904135E-03,+8.04020092E-03
+8.49000E-06,-345.72863951E-03,+8.04020092E-03
+8.59000E-06,-313.56783584E-03,+8.04020092E-03
+8.69000E-06,-289.44723308E-03,+8.04020092E-03
+8.79000E-06,-265.32663032E-03,+0.0E+00
+8.89000E-06,-241.20602757E-03,+8.04020092E-03
+8.99000E-06,-201.00502297E-03,+0.0E+00
+9.09000E-06,-184.92462113E-03,+8.04020092E-03
+9.19000E-06,-136.68341562E-03,+0.0E+00
+9.29000E-06,-120.60301378E-03,+0.0E+00
+9.39000E-06,-88.44221011E-03,+0.0E+00
+9.49000E-06,-56.28140643E-03,-8.04020092E-03
+9.59000E-06,-24.12060276E-03,-8.04020092E-03
+9.69000E-06,+0.0E+00,+0.0E+00
+9.79000E-06,+40.20100459E-03,-8.04020092E-03
+9.89000E-06,+64.32160735E-03,-8.04020092E-03
+9.99000E-06,+96.48241103E-03,-8.04020092E-03
